Name,Email,Gender,Status
Trilochana Butt,trilochana_butt@halvorson.name,male,1
Laal Desai,laal_desai@kemmer.io,female,1
Mandakini Somayaji PhD,somayaji_mandakini_phd@zieme.biz,female,1
Bhushit Kocchar,kocchar_bhushit@douglas.biz,female,0
Sarvin Kocchar,sarvin_kocchar@macgyver-kassulke.com,male,1
Vishwamitra Bhattacharya,bhattacharya_vishwamitra@cole-oconnell.org,female,0
Sarisha Nair,sarisha_nair@cormier.co,male,0
Aadi Kaniyar LLD,aadi_lld_kaniyar@kunde.io,female,0
Dr. Marut Pilla,dr_marut_pilla@hagenes.co,male,1
Amaresh Kaur,kaur_amaresh@davis-mitchell.io,male,0
Leela Gupta,leela_gupta@hettinger.co,male,1
Devasree Tandon,tandon_devasree@kiehn.co,female,1
Dayaananda Pandey,pandey_dayaananda@wehner-howe.info,female,1
Amrit Adiga DVM,adiga_amrit_dvm@rempel.org,female,0
Swami Pandey V,swami_pandey_v@runolfsdottir-bergnaum.com,female,1
Amb. Chandi Kaul,kaul_amb_chandi@grimes.io,female,1
Chidaatma Kaur,kaur_chidaatma@wolf.info,male,1
Vyas Nehru,nehru_vyas@von.org,female,0
Uttam Bhattacharya,bhattacharya_uttam@daniel.co,female,0
Bhupen Iyengar,bhupen_iyengar@von-hayes.info,female,0
